R1,R,Z1,Z,L1,L,Energy,Entropy,Slew Rate,Rise Time,Maximum,Minimum,DTW distance
22.0,15.0,35,35,100,40,183.67049392509216,0.5134327026447907,0.9002597026195355,2.932487139342398e-09,3.296722173690796,0.0,278.443674974696
33.0,15.0,35,35,100,40,171.8696012176224,0.5430386512748323,0.6188612171544505,4.265899892933716e-09,3.2754886150360107,0.0,752.1554475694047
47.0,15.0,35,35,100,40,158.40478795325907,0.5591043607741377,0.4619336024508138,5.715107075980913e-09,3.215083599090576,0.0,568.5727658663185
68.0,15.0,35,35,100,40,141.87963870426756,0.5814717845082448,0.33715465735979694,7.830234411333388e-09,3.0812816619873047,0.0,581.7101858180743
1e-09,22.0,35,35,100,40,213.91505811152456,0.5523752978968987,1.7113141514114523,1.5426740892796268e-09,4.010251045227051,-0.7899168729782104,319.68038618248175
10.0,22.0,35,35,100,40,197.51449542582122,0.4536237251554131,1.3567236806188523,1.9458641709532164e-09,3.427687168121338,-0.15498799085617065,209.73975337374733
15.0,22.0,35,35,100,40,190.9185982640338,0.42925440798722003,1.159389142394766,2.277061172530019e-09,3.2999629974365234,-0.00045283258077688515,221.7238536300954
22.0,22.0,35,35,100,40,182.62210232933285,0.5169251564637505,0.8636877471262376,3.0566602441497115e-09,3.2960429191589355,0.0,274.43185049259506
33.0,22.0,35,35,100,40,171.0025685497385,0.5406836066320306,0.6067372556288295,4.351142072632203e-09,3.272998809814453,0.0,794.1941862740875
47.0,22.0,35,35,100,40,157.69855110647768,0.561295855836448,0.4556716095405128,5.793646004547235e-09,3.2103164196014404,0.0,557.4860908686993
68.0,22.0,35,35,100,40,141.31958891994145,0.58133148892437,0.33405506686959724,7.902888660660723e-09,3.0747334957122803,0.0,590.167443688426
1e-09,33.0,35,35,100,40,210.6218772723878,0.5415057921128968,1.6378371498912716,1.611881865163003e-09,3.878375768661499,-0.6562166213989258,283.60398231737463
10.0,33.0,35,35,100,40,195.46757812349824,0.44176522684454733,1.2859618461423936,2.0529380462720777e-09,3.3696820735931396,-0.08306005597114563,212.38250432059854
15.0,33.0,35,35,100,40,189.10833432528307,0.4509395948635842,1.0862977757825407,2.4302728578250213e-09,3.299659013748169,-0.00023207410413306206,226.41714957043106
22.0,33.0,35,35,100,40,180.98072018801759,0.5137301973199553,0.8098481845131571,3.2598702454177188e-09,3.294705629348755,0.0,283.9510649690519
33.0,33.0,35,35,100,40,169.61777760116092,0.544488223362423,0.5881275117564451,4.488822487007332e-09,3.268649101257324,0.0,753.0319589640853
47.0,33.0,35,35,100,40,156.59423979741405,0.5598239090011868,0.44556024992452137,5.92512460536419e-09,3.202444553375244,0.0,555.9142701510959
68.0,33.0,35,35,100,40,140.406427817652,0.5740472620591323,0.3291524760140737,8.02059893934117e-09,3.0642499923706055,0.0,576.1725581156117
1e-09,47.0,35,35,100,40,206.61613575612137,0.5272159503210446,1.5422179413485475,1.711820313600767e-09,3.72946834564209,-0.49413740634918213,255.29222728076107
10.0,47.0,35,35,100,40,192.689867617446,0.4013668236403053,1.1828155882525397,2.2319624683846667e-09,3.31536865234375,-0.018135864287614822,206.0045420667512
15.0,47.0,35,35,100,40,186.6491743385268,0.4719270348619999,1.0008910944519196,2.6376496050708134e-09,3.2992634773254395,0.0,235.7084135345716
22.0,47.0,35,35,100,40,178.94465997869702,0.5280006020151129,0.7562512357666921,3.490903386522803e-09,3.2924203872680664,0.0,309.4749401377088
33.0,47.0,35,35,100,40,167.84764511612593,0.5505018925366018,0.565609801086237,4.667528736118004e-09,3.262300491333008,0.0,796.7354455685593
47.0,47.0,35,35,100,40,155.11724882344424,0.5618060134235559,0.43316729467368803,6.094642953108347e-09,3.1918153762817383,0.0,518.056958171553
68.0,47.0,35,35,100,40,139.28482189839997,0.5719986714342183,0.3213828767227088,8.214501117549609e-09,3.050537347793579,0.0,589.9928237750771
1e-09,68.0,35,35,100,40,201.26773847550794,0.5067004204748187,1.4031666513485008,1.8814586260747084e-09,3.5494301319122314,-0.28062188625335693,235.00243077755218
10.0,68.0,35,35,100,40,188.91222453021328,0.4468688251131975,1.0549269272981443,2.502543002444264e-09,3.300900459289551,-0.0015056970296427608,219.46019534566267
15.0,68.0,35,35,100,40,183.09071947442135,0.48928582924497127,0.8784177017625715,3.0054039151337234e-09,3.2978570461273193,0.0,251.30907466456222
22.0,68.0,35,35,100,40,175.9104577558901,0.5440799391392487,0.6901019450097315,3.825521749489884e-09,3.287461996078491,0.0,313.0329798843535
33.0,68.0,35,35,100,40,165.0600438551919,0.555984361703281,0.5323218508278293,4.95940566011795e-09,3.250974178314209,0.0,777.52786436629
47.0,68.0,35,35,100,40,152.822750010273,0.5606657520580925,0.41468027641578387,6.366350535931865e-09,3.1746039390563965,0.0,490.3267346946471
68.0,68.0,35,35,100,40,137.54346639416326,0.5666332238490095,0.31321959847995673,8.428591355112588e-09,3.029385805130005,0.0,583.3324244877492
1e-09,100.0,35,35,100,40,193.88363625694183,0.46354332114604024,1.2013873371258221,2.1974594857274665e-09,3.34871768951416,-0.05252698063850403,225.79754942045633
10.0,100.0,35,35,100,40,182.95565951120807,0.5042802035352884,0.8676769503880764,3.042607042654799e-09,3.299046516418457,0.0,260.45266102012783
15.0,100.0,35,35,100,40,177.88929085327254,0.5365877158877889,0.7383549136675643,3.5755162607187968e-09,3.2925233840942383,0.0,275.75929611835653
22.0,100.0,35,35,100,40,170.95457849336526,0.5528172139834077,0.61048972648306,4.324397095441138e-09,3.2756423950195312,0.0,347.60104635059423
33.0,100.0,35,35,100,40,160.88355891952233,0.5573826142072695,0.4874684813995481,5.415734761805355e-09,3.229487419128418,0.0,775.8677532475957
47.0,100.0,35,35,100,40,149.36017578293104,0.5646203113821745,0.38919139375693834,6.783294909261941e-09,3.1451363563537598,0.0,501.59870324711306
68.0,100.0,35,35,100,40,134.94798167812405,0.5748360120978336,0.2984521884215149,8.845637936055043e-09,2.9957070350646973,0.0,594.6532854472296
1e-09,150.0,35,35,100,40,183.67541088082362,0.5243428356078633,0.8840442611075388,2.9862758191457335e-09,3.306226968765259,-0.007439996115863323,290.7811381858618
10.0,150.0,35,35,100,40,174.05800178948994,0.5523088843660714,0.6642904294211833,3.9741653395493186e-09,3.286757707595825,0.0,322.9253325403599
15.0,150.0,35,35,100,40,169.41010017035296,0.5622264949718371,0.5923625298433995,4.456730240344415e-09,3.2725021839141846,0.0,342.64313839142886
22.0,150.0,35,35,100,40,163.34351471414266,0.5714071165451744,0.5171063016394036,5.105333258616841e-09,3.245375871658325,0.0,444.94467856479395
33.0,150.0,35,35,100,40,154.3574086326771,0.5656368188708379,0.0,-inf,3.1862783432006836,0.0,780.2073112878263
47.0,150.0,35,35,100,40,144.00959003069147,0.5628440171778355,0.3524019012833575,7.49144652848295e-09,3.0922815799713135,0.0,511.0858715249907
68.0,150.0,35,35,100,40,130.85926298117556,0.5755597691256815,0.0,0.0,2.939812660217285,0.0,602.4150013108499
1e-09,1e-09,40,35,100,40,228.66790061470965,0.5855152739794515,1.8198148137817156,1.4506970599463777e-09,4.457300186157227,-1.2622045278549194,479.31181057058274
10.0,1e-09,40,35,100,40,206.18435314645467,0.5163988289043472,1.5395321920370801,1.71480662350217e-09,3.7334651947021484,-0.4914214611053467,258.5766285977262
15.0,1e-09,40,35,100,40,198.77239765264676,0.466337280604193,1.3750500658502107,1.919930092412784e-09,3.471888780593872,-0.20385682582855225,217.58202741732265
22.0,1e-09,40,35,100,40,189.66426296174177,0.44937020121521565,1.1234076885261897,2.3499928182469923e-09,3.2992823123931885,0.0,233.90826071556685
33.0,1e-09,40,35,100,40,177.5076725607505,0.5347575656495239,0.7104673069929248,3.7158641559087113e-09,3.288599967956543,0.0,436.4803078074616
47.0,1e-09,40,35,100,40,163.82156786676205,0.5658450869413653,0.518981707867984,5.086884489330691e-09,3.2444493770599365,0.0,547.8144924332381
68.0,1e-09,40,35,100,40,146.73651094199158,0.582508861891339,0.37058386096590573,7.123893612417416e-09,3.1291582584381104,0.0,578.0876346292582
1e-09,10.0,40,35,100,40,223.74638319888618,0.575681258975336,1.767940758190781,1.4932627056472407e-09,4.304779529571533,-1.1139731407165527,420.480509372877
10.0,10.0,40,35,100,40,203.8162563167134,0.5073188627080625,1.4657802854544997,1.8010884893170777e-09,3.6488430500030518,-0.3960599899291992,242.545802819754
15.0,10.0,40,35,100,40,196.92279806804436,0.44532818490961534,1.3155611849906932,2.0067481696175736e-09,3.4157729148864746,-0.13458400964736938,209.26324400095348
22.0,10.0,40,35,100,40,188.04907142566663,0.47172562577735355,1.061160568903105,2.4878421582597076e-09,3.2990777492523193,0.0,243.5335514566545
33.0,10.0,40,35,100,40,176.20683934183035,0.5373248134099079,0.6868901370708427,3.843409386045272e-09,3.2862915992736816,0.0,563.8171955084599
47.0,10.0,40,35,100,40,162.6922738751091,0.5639784972523766,0.5062266677993791,5.215055167828987e-09,3.238785982131958,0.0,628.6005994667117
68.0,10.0,40,35,100,40,145.88994190489757,0.5814993825755503,0.3643357689778813,7.2460631779480145e-09,3.1201303005218506,0.0,569.1148273122324
1e-09,15.0,40,35,100,40,221.53659529067227,0.5696897551700543,1.7424644776566196,1.5150954489186744e-09,4.231977462768555,-1.041547179222107,391.7690669232345
10.0,15.0,40,35,100,40,202.71228606816294,0.5050724366327637,1.4303591330803127,1.8456903157703452e-09,3.6077823638916016,-0.3500581979751587,241.73439769784338
